run_ts,phase,op,category,M,S,stock_ms,ours_ms,speedup,impl,archive,protocol,same_inputs,shape
20260720T085336Z,prefill,fused_qkv_a_proj,Attention,1024,65536,0.024845,0.014810,1.6776,dropin:fused_qkv_a_prefill.py,fused_qkv_a_prefill.py,cuda_graph,True,"[1024, 6144]×[6144, 2624]  (DeepGEMM FP8)"
20260720T085336Z,prefill,q_b_proj,Attention,1024,65536,0.041691,0.025458,1.6376,dropin:q_b_prefill.py,q_b_prefill.py,cuda_graph,True,"[1024, 2048]×[2048, 16384]  (DeepGEMM FP8)"
20260720T085336Z,prefill,absorbed_W_UK,Attention,1024,65536,0.015102,0.015077,1.0017,dropin:absorbed_W_UK_prefill.py,absorbed_W_UK_prefill.py,cuda_graph,True,"bmm_fp8 [64, 1024, 192]×[192, 512]"
20260720T085336Z,prefill,absorbed_W_UV,Attention,1024,65536,0.010411,0.010693,0.9736,dropin:absorbed_W_UV_prefill.py,absorbed_W_UV_prefill.py,cuda_graph,True,"bmm_fp8 [64, 1024, 512]×[512, 256]"
20260720T085336Z,prefill,o_proj,Attention,1024,65536,0.086779,0.076803,1.1299,dropin:best/o_proj_decode_hbm35,best/o_proj_decode_hbm35,cuda_graph,True,"[1024, 16384]×[16384, 6144]  (DeepGEMM FP8)"
20260720T085336Z,prefill,dsa_prefill_attn,DSA,1024,65536,0.280834,0.306971,0.9149,dropin:dsa_prefill_attn.py,dsa_prefill_attn.py,cuda_graph,True,flash_mla_sparse_fwd s_q=1024 s_kv=65536 topk=2048
20260720T085336Z,prefill,index_k_proj,DSA Indexer,1024,65536,0.085010,0.074018,1.1485,dropin:best/index_k_proj_decode,best/index_k_proj_decode,cuda_graph,True,"[65536, 6144]×[6144, 128]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_q_upproj,DSA Indexer,1024,65536,0.021749,0.011301,1.9245,dropin:index_q_upproj_prefill.py,index_q_upproj_prefill.py,cuda_graph,True,"[1024, 2048]×[2048, 4096]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_weights_proj,DSA Indexer,1024,65536,0.016667,0.010459,1.5936,dropin:index_weights_proj.py,index_weights_proj.py,cuda_event,True,"[1024, 6144]×[6144, 32]  (DeepGEMM BF16->F32)"
20260720T085336Z,prefill,index_score,DSA Indexer,1024,65536,0.260094,0.278296,0.9346,dropin:index_score_prefill.py,index_score_prefill.py,cuda_graph,True,"fp8_mqa_logits q=[1024,32,128] k=[65536,128]"
20260720T085336Z,prefill,moe_gate_proj,MoE,1024,65536,0.101208,0.101208,1.0000,llm_flops_stock,,cuda_graph,True,"masked [8x expected_m, 6144]×[6144, 2048]"
20260720T085336Z,prefill,moe_up_proj,MoE,1024,65536,0.095638,0.087427,1.0939,dropin:best/moe_up_proj_decode_hbm40,best/moe_up_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 6144]×[6144, 2048]"
20260720T085336Z,prefill,moe_down_proj,MoE,1024,65536,0.101603,0.094584,1.0742,dropin:best/moe_down_proj_decode_hbm40,best/moe_down_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 2048]×[2048, 6144]"
20260720T085336Z,prefill,fused_qkv_a_proj,Attention,2048,65536,0.036715,0.026899,1.3649,dropin:fused_qkv_a_prefill.py,fused_qkv_a_prefill.py,cuda_graph,True,"[2048, 6144]×[6144, 2624]  (DeepGEMM FP8)"
20260720T085336Z,prefill,q_b_proj,Attention,2048,65536,0.069714,0.052256,1.3341,dropin:q_b_prefill.py,q_b_prefill.py,cuda_graph,True,"[2048, 2048]×[2048, 16384]  (DeepGEMM FP8)"
20260720T085336Z,prefill,absorbed_W_UK,Attention,2048,65536,0.031451,0.031347,1.0033,dropin:absorbed_W_UK_prefill.py,absorbed_W_UK_prefill.py,cuda_graph,True,"bmm_fp8 [64, 2048, 192]×[192, 512]"
20260720T085336Z,prefill,absorbed_W_UV,Attention,2048,65536,0.022739,0.022802,0.9972,dropin:absorbed_W_UV_prefill.py,absorbed_W_UV_prefill.py,cuda_graph,True,"bmm_fp8 [64, 2048, 512]×[512, 256]"
20260720T085336Z,prefill,o_proj,Attention,2048,65536,0.154259,0.144067,1.0707,dropin:best/o_proj_decode_hbm35,best/o_proj_decode_hbm35,cuda_graph,True,"[2048, 16384]×[16384, 6144]  (DeepGEMM FP8)"
20260720T085336Z,prefill,dsa_prefill_attn,DSA,2048,65536,1.232243,1.213781,1.0152,dropin:dsa_prefill_attn.py,dsa_prefill_attn.py,cuda_graph,True,flash_mla_sparse_fwd s_q=2048 s_kv=65536 topk=2048
20260720T085336Z,prefill,index_k_proj,DSA Indexer,2048,65536,0.084355,0.073819,1.1427,dropin:best/index_k_proj_decode,best/index_k_proj_decode,cuda_graph,True,"[65536, 6144]×[6144, 128]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_q_upproj,DSA Indexer,2048,65536,0.027238,0.017291,1.5753,dropin:index_q_upproj_prefill.py,index_q_upproj_prefill.py,cuda_graph,True,"[2048, 2048]×[2048, 4096]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_weights_proj,DSA Indexer,2048,65536,0.016867,0.012603,1.3383,dropin:index_weights_proj.py,index_weights_proj.py,cuda_event,True,"[2048, 6144]×[6144, 32]  (DeepGEMM BF16->F32)"
20260720T085336Z,prefill,index_score,DSA Indexer,2048,65536,1.194280,1.193597,1.0006,dropin:index_score_prefill.py,index_score_prefill.py,cuda_graph,True,"fp8_mqa_logits q=[2048,32,128] k=[65536,128]"
20260720T085336Z,prefill,moe_gate_proj,MoE,2048,65536,0.219362,0.219362,1.0000,llm_flops_stock,,cuda_graph,True,"masked [8x expected_m, 6144]×[6144, 2048]"
20260720T085336Z,prefill,moe_up_proj,MoE,2048,65536,0.307384,0.298726,1.0290,dropin:best/moe_up_proj_decode_hbm40,best/moe_up_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 6144]×[6144, 2048]"
20260720T085336Z,prefill,moe_down_proj,MoE,2048,65536,0.318632,0.312019,1.0212,dropin:best/moe_down_proj_decode_hbm40,best/moe_down_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 2048]×[2048, 6144]"
20260720T085336Z,prefill,fused_qkv_a_proj,Attention,4096,65536,0.054758,0.046867,1.1684,dropin:fused_qkv_a_prefill.py,fused_qkv_a_prefill.py,cuda_graph,True,"[4096, 6144]×[6144, 2624]  (DeepGEMM FP8)"
20260720T085336Z,prefill,q_b_proj,Attention,4096,65536,0.250606,0.097600,2.5677,dropin:q_b_prefill.py,q_b_prefill.py,cuda_graph,True,"[4096, 2048]×[2048, 16384]  (DeepGEMM FP8)"
20260720T085336Z,prefill,absorbed_W_UK,Attention,4096,65536,0.058144,0.058070,1.0013,dropin:absorbed_W_UK_prefill.py,absorbed_W_UK_prefill.py,cuda_graph,True,"bmm_fp8 [64, 4096, 192]×[192, 512]"
20260720T085336Z,prefill,absorbed_W_UV,Attention,4096,65536,0.044528,0.044426,1.0023,dropin:absorbed_W_UV_prefill.py,absorbed_W_UV_prefill.py,cuda_graph,True,"bmm_fp8 [64, 4096, 512]×[512, 256]"
20260720T085336Z,prefill,o_proj,Attention,4096,65536,0.693933,0.547549,1.2673,dropin:best/o_proj_decode_hbm35,best/o_proj_decode_hbm35,cuda_graph,True,"[4096, 16384]×[16384, 6144]  (DeepGEMM FP8)"
20260720T085336Z,prefill,dsa_prefill_attn,DSA,4096,65536,1.268390,1.266822,1.0012,dropin:dsa_prefill_attn.py,dsa_prefill_attn.py,cuda_graph,True,flash_mla_sparse_fwd s_q=4096 s_kv=65536 topk=2048
20260720T085336Z,prefill,index_k_proj,DSA Indexer,4096,65536,0.086347,0.074195,1.1638,dropin:best/index_k_proj_decode,best/index_k_proj_decode,cuda_graph,True,"[65536, 6144]×[6144, 128]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_q_upproj,DSA Indexer,4096,65536,0.036922,0.028194,1.3096,dropin:index_q_upproj_prefill.py,index_q_upproj_prefill.py,cuda_graph,True,"[4096, 2048]×[2048, 4096]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_weights_proj,DSA Indexer,4096,65536,0.017784,0.010835,1.6413,dropin:index_weights_proj.py,index_weights_proj.py,cuda_event,True,"[4096, 6144]×[6144, 32]  (DeepGEMM BF16->F32)"
20260720T085336Z,prefill,index_score,DSA Indexer,4096,65536,1.183387,1.172590,1.0092,dropin:index_score_prefill.py,index_score_prefill.py,cuda_graph,True,"fp8_mqa_logits q=[4096,32,128] k=[65536,128]"
20260720T085336Z,prefill,moe_gate_proj,MoE,4096,65536,0.336466,0.336466,1.0000,llm_flops_stock,,cuda_graph,True,"masked [8x expected_m, 6144]×[6144, 2048]"
20260720T085336Z,prefill,moe_up_proj,MoE,4096,65536,0.327776,0.346224,0.9467,dropin:best/moe_up_proj_decode_hbm40,best/moe_up_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 6144]×[6144, 2048]"
20260720T085336Z,prefill,moe_down_proj,MoE,4096,65536,0.347830,0.379942,0.9155,dropin:best/moe_down_proj_decode_hbm40,best/moe_down_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 2048]×[2048, 6144]"
20260720T085336Z,prefill,__LAYER__,layer,1024,65536,1.141631,1.107105,1.0312,sum,,cuda_graph,True,
20260720T085336Z,prefill,__LAYER__,layer,2048,65536,3.715239,3.618569,1.0267,sum,,cuda_graph,True,
20260720T085336Z,prefill,__LAYER__,layer,4096,65536,4.706871,4.409780,1.0674,sum,,cuda_graph,True,
